"dep";"jour";"nb"
"63";"2020-03-28";3
"64";"2020-03-28";4
"65";"2020-03-28";3
"66";"2020-03-28";1
"67";"2020-03-28";18
"68";"2020-03-28";20
"69";"2020-03-28";26
"70";"2020-03-28";1
"71";"2020-03-28";6
"72";"2020-03-28";3
"73";"2020-03-28";7
"74";"2020-03-28";9
"75";"2020-03-28";31
"76";"2020-03-28";9
"77";"2020-03-28";13
"78";"2020-03-28";10
"79";"2020-03-28";2
"80";"2020-03-28";13
"81";"2020-03-28";4
"82";"2020-03-28";1
"83";"2020-03-28";10
"84";"2020-03-28";7
"85";"2020-03-28";3
"86";"2020-03-28";2
"87";"2020-03-28";2
"88";"2020-03-28";6
"89";"2020-03-28";2
"90";"2020-03-28";1
"91";"2020-03-28";13
"92";"2020-03-28";19
"93";"2020-03-28";16
"94";"2020-03-28";16
"95";"2020-03-28";9
"971";"2020-03-28";2
"972";"2020-03-28";1
"973";"2020-03-28";0
"974";"2020-03-28";1
"976";"2020-03-28";0
